City,Cloudiness,Date,Humidity,Lat,Lon,Max Temp,Windspeed
Lagoa,86,1627342952,88,39.05,-27.9833,70.79,8.68
Stornoway,90,1627342953,94,58.2093,-6.3865,63.93,3.44
Lavrentiya,100,1627342953,97,65.5833,-171.0,45.72,3.71
Jacareacanga,94,1627342954,47,-6.2222,-57.7528,77.77,1.92
Copiapó,0,1627342955,59,-27.3667,-70.3333,49.69,0.87
Batagay-Alyta,75,1627342955,73,67.8006,130.4114,55.18,11.25
Aleksandrov Gay,2,1627342956,40,50.147,48.5704,67.1,7.38
Santa Isabel Rio Negro,99,1627342956,89,-0.4139,-65.0192,75.02,2.93
Uyemskiy,40,1627342957,76,64.4743,40.8524,50.05,2.24
Giohar,99,1627342878,84,2.7809,45.5005,73.31,16.82
Luanda,62,1627342942,88,-8.8368,13.2343,69.8,4.61
Kieta,32,1627342957,68,-6.2167,155.6333,85.28,4.65
Chikhli,100,1627342958,86,20.35,76.25,72.01,12.73
Havøysund,54,1627342958,82,70.9963,24.6622,50.88,8.14
Benjamín Aceval,99,1627342959,79,-24.9667,-57.5667,64.54,13.04
Leeds,0,1627342960,64,53.7964,-1.5477,65.34,1.99
Alofi,40,1627342960,74,-19.0595,-169.9187,80.49,3.44
Sioux Lookout,90,1627342961,72,50.1001,-91.917,66.58,5.75
San Patricio,4,1627342887,47,28.017,-97.5169,93.88,11.36
Mitú,90,1627342961,98,1.1983,-70.1733,72.23,1.74
Zhigansk,24,1627342962,63,66.7697,123.3711,57.58,16.87
Waingapu,52,1627342962,75,-9.6567,120.2641,77.85,7.02
Daru,85,1627342850,78,-9.0763,143.2092,79.77,16.64
Souillac,75,1627342963,94,-20.5167,57.5167,68.38,17.27
Goderich,0,1627342964,57,43.7501,-81.7165,80.91,2.3
Yulara,35,1627342965,22,-25.2406,130.9889,62.44,10.36
Kimbe,71,1627342965,76,-5.5502,150.1429,81.84,3.27
Constitución,0,1627342966,67,-35.3333,-72.4167,46.42,12.8
Sibu,40,1627342966,94,2.3,111.8167,75.51,1.99
Torbay,75,1627342892,85,47.6666,-52.7314,60.58,8.05
Makakilo City,40,1627342967,52,21.3469,-158.0858,88.12,12.66
Traralgon,53,1627342967,73,-38.1833,146.5333,63.41,5.91
Zyryanka,73,1627342968,45,65.75,150.85,56.21,16.4
Verkhnetulomskiy,9,1627342968,94,68.6073,31.7962,33.93,0.98
Bandarbeyla,34,1627342968,76,9.4942,50.8122,76.93,24.18
Mareeba,79,1627342969,76,-17.0,145.4333,72.48,5.28
Hualmay,28,1627342969,83,-11.0964,-77.6139,64.35,10.29
Along,100,1627342970,99,28.1667,94.7667,75.07,1.28
Carlsbad,90,1627342970,85,33.1581,-117.3506,88.39,4.0
Flin Flon,40,1627342970,43,54.7682,-101.865,73.24,4.61
Naze,100,1627342971,85,28.3667,129.4833,79.72,13.38
Altay,5,1627342971,47,47.8667,88.1167,71.19,3.6
Tortolì,0,1627342972,83,39.9256,9.6572,78.82,16.11
Angoche,51,1627342972,84,-16.2325,39.9086,66.92,10.31
Bredasdorp,70,1627342840,62,-34.5322,20.0403,52.92,4.61
Carutapera,81,1627342973,93,-1.195,-46.02,75.04,6.35
Redlands,40,1627342973,52,34.0556,-117.1825,96.31,5.01
Katsuura,88,1627342830,88,35.1333,140.3,78.19,23.96
Bubaque,100,1627342867,85,11.2833,-15.8333,79.72,12.35
Tuktoyaktuk,90,1627342889,71,69.4541,-133.0374,51.8,3.44
Khatanga,66,1627342975,62,71.9667,102.5,63.19,17.74
Nantucket,75,1627342975,94,41.2835,-70.0995,81.01,10.36
Bonavista,14,1627342689,86,48.6499,-53.1147,60.8,13.42
Ostrovnoy,100,1627342898,88,68.0531,39.5131,45.86,20.07
Salair,67,1627342976,96,54.2312,85.7972,56.55,7.11
Dubbo,23,1627342976,81,-32.25,148.6167,48.33,4.61
Mar del Plata,40,1627342897,66,-38.0023,-57.5575,42.01,1.99
Brae,89,1627342855,96,60.3964,-1.353,58.91,13.38
Taltal,12,1627342977,74,-25.4,-70.4833,58.41,5.06
Mount Hagen,85,1627342978,65,-5.8581,144.2274,70.61,2.44
Dalby,0,1627342978,42,-27.1833,151.2667,50.7,5.3
Touros,2,1627342978,85,-5.1989,-35.4608,72.5,10.38
Santa María del Oro,28,1627342979,21,25.9333,-105.3667,85.77,16.51
Cayce,40,1627342979,62,33.9657,-81.074,91.71,8.05
Mauchline,75,1627342980,88,55.516,-4.3793,59.92,5.75
Lebu,17,1627342844,73,-37.6167,-73.65,46.51,17.09
Korla,0,1627342980,26,41.7597,86.1469,82.69,10.4
Arraial do Cabo,0,1627342881,78,-22.9661,-42.0278,71.56,13.8
Nauta,72,1627342981,94,-4.5061,-73.5757,73.96,2.57
Smithers,75,1627342982,72,54.7804,-127.1743,61.12,2.3
Hohhot,0,1627342982,77,40.8106,111.6522,64.69,4.47
Codrington,32,1627342879,68,-38.2667,141.9667,51.58,19.19
Faanui,66,1627342983,71,-16.4833,-151.75,79.48,12.5
Bilibino,62,1627342983,46,68.0546,166.4372,55.98,14.25
Santa Fe,0,1627342860,54,-31.6333,-60.7,55.99,7.0
Hithadhoo,97,1627342899,77,-0.6,73.0833,80.31,7.92
Jieshou,100,1627342984,97,33.2634,115.3611,76.62,10.65
Karratha,43,1627342872,68,-20.7377,116.8463,69.89,7.23
Kalabo,100,1627342985,49,-14.97,22.6814,50.76,5.57
St. George's,40,1627342985,89,12.0564,-61.7485,80.28,0.0
Lakhīmpur,50,1627342985,86,27.95,80.7667,81.34,4.27
Bethel,1,1627342704,73,41.3712,-73.414,84.69,4.61
Palmer,29,1627342953,56,42.1584,-72.3287,81.55,4.09
Birao,100,1627342986,96,10.2849,22.7882,70.29,3.94
Plessisville,41,1627342987,93,46.2186,-71.762,73.29,5.7
Guiratinga,3,1627342987,30,-16.3494,-53.7583,72.73,3.76
Panguna,29,1627342987,62,-6.3164,155.4848,81.46,1.48
Jalu,0,1627342989,48,29.0331,21.5482,79.45,8.16
Ossora,100,1627342989,90,59.2353,163.0719,64.47,8.66
Paragominas,53,1627342990,56,-2.9667,-47.4833,75.69,3.89
Kushmurun,63,1627342990,60,52.4503,64.6311,55.94,4.65
Deputatsky,100,1627342834,88,69.3,139.9,42.55,2.13
Matara,95,1627342991,90,5.9485,80.5353,78.37,9.8
Mitchell,1,1627342714,52,43.7094,-98.0298,91.38,13.8
Shimoda,100,1627342991,87,34.6667,138.95,75.56,0.67
Sibolga,87,1627342992,85,1.7427,98.7792,77.13,2.98
Hamilton,20,1627342894,57,39.1834,-84.5333,86.09,10.36
Ruidoso,1,1627342992,68,33.3317,-105.673,80.1,0.0
São João da Barra,0,1627342882,81,-21.6403,-41.0511,71.96,18.23
Huanren,38,1627342993,65,41.2647,125.3667,81.73,1.14
Jamestown,1,1627342993,47,42.097,-79.2353,81.72,8.05
Skiathos,1,1627342994,48,39.1623,23.4909,77.97,5.48
Nola,45,1627342994,68,40.922,14.5329,85.93,2.06
Zeya,57,1627342875,62,53.75,127.2667,75.4,3.06
Saint-Philippe,66,1627342860,78,-21.3585,55.7679,63.95,11.68
Odienné,24,1627342996,97,9.51,-7.5692,70.65,4.81
Pangnirtung,60,1627342996,86,66.1451,-65.7125,55.2,3.22
Manjacaze,59,1627342997,76,-24.7117,33.8828,61.47,3.15
Kavaratti,100,1627342997,80,10.5669,72.642,81.09,19.22
Trelew,40,1627342997,81,-43.249,-65.3051,43.07,17.27
Binuangan,98,1627342998,69,8.9153,124.7883,82.42,9.35
Porto-Novo,34,1627342998,77,6.4965,2.6036,78.62,10.74
Saldanha,23,1627342894,85,-33.0117,17.9442,55.45,9.82
Wakkanai,0,1627342999,72,45.4094,141.6739,74.41,8.81
Kaeo,27,1627342847,73,-35.1,173.7833,60.33,13.53
Bengkulu,3,1627342845,76,-3.8004,102.2655,74.17,5.01
Isangel,75,1627343000,65,-19.55,169.2667,78.91,5.75
Pochutla,100,1627342872,81,15.7432,-96.4661,84.81,0.47
Port Blair,98,1627342860,86,11.6667,92.75,81.72,19.95
Darnah,0,1627343000,69,32.767,22.6367,76.03,11.03
Unaí,1,1627343001,39,-16.3575,-46.9061,66.56,1.54
Medvedka,8,1627343001,96,61.1629,46.387,44.06,4.97
Vredendal,18,1627343002,44,-31.6683,18.5012,57.29,4.16
Mirante do Paranapanema,1,1627343002,33,-22.2919,-51.9064,76.93,7.18
Cayenne,0,1627343002,81,4.9333,-52.3333,82.09,4.0
Te Anau,68,1627343003,83,-45.4167,167.7167,46.31,4.32
Bambanglipuro,15,1627343003,85,-7.95,110.2833,73.54,3.29
Ampanihy,69,1627343005,67,-24.7,44.75,61.59,17.4
Mahon,0,1627343005,64,39.8885,4.2658,75.76,6.91
Moerai,89,1627343006,84,-22.4333,-151.3333,75.42,14.32
Lowestoft,77,1627342761,93,52.4752,1.7516,64.45,8.19
Strezhevoy,63,1627343006,82,60.7333,77.5889,53.58,11.34
Cherskiy,6,1627342861,49,68.75,161.3,53.8,18.39
Mundo Nuevo (Ojo de Agua),37,1627342859,76,18.7,-95.5,82.74,8.61
Santiago del Estero,0,1627343007,32,-27.7951,-64.2615,53.8,9.73
Talovaya,0,1627343007,53,51.1144,40.73,62.11,4.79
Ilorin,0,1627343008,94,8.5,4.55,73.76,5.75
Rocha,9,1627343008,88,-34.4833,-54.3333,45.55,7.07
Şile,0,1627343009,75,41.1754,29.6133,72.57,3.09
Tarko-Sale,100,1627343009,94,64.9225,77.785,47.93,20.56
Northam,100,1627343009,95,51.0333,-4.2167,65.01,10.4
Quang Ngai,56,1627342855,63,15.1167,108.8,84.22,4.18
Mossamedes,0,1627343003,80,-15.1961,12.1522,65.19,1.63
Vila do Maio,29,1627343011,84,15.1333,-23.2167,77.79,10.8
Berlevåg,60,1627343012,87,70.8578,29.0864,45.28,0.78
Saint-Pierre,75,1627343012,88,-21.3393,55.4781,64.04,5.75
Swan Hill,5,1627343012,51,-35.3378,143.5544,56.19,16.62
Carauari,85,1627343013,67,-4.8828,-66.8958,79.34,2.71
Cradock,60,1627343013,34,-32.1642,25.6192,45.32,9.82
Pabradė,72,1627343014,62,55.0,25.7833,72.03,7.74
Boa Vista,75,1627343014,74,2.8197,-60.6733,82.38,10.36
Songkhla,65,1627343015,90,6.8333,100.6667,77.05,4.21
Acapulco de Juárez,90,1627342987,74,16.8634,-99.8901,87.62,6.91
Nhulunbuy,85,1627343016,83,-12.2333,136.7667,77.61,6.91
Barra de Tecoanapa,97,1627343016,77,16.5167,-98.75,83.93,5.77
Lata,8,1627343016,98,40.1629,-8.3327,63.01,2.57
Virginia Beach,90,1627342865,84,36.8529,-75.978,79.02,14.97
Scarborough,12,1627343010,87,54.2797,-0.4044,63.54,6.96
Atar,17,1627343017,21,20.5169,-13.0499,92.82,3.4
Dajal,99,1627343017,48,29.5577,70.3762,93.99,18.92
Bam,13,1627343018,15,29.106,58.357,88.56,18.99
Bazarnye Mataki,31,1627343018,70,54.8833,49.9333,55.72,7.65
Powell River,20,1627343019,57,49.8496,-124.5361,84.04,8.05
Belaya Gora,79,1627343019,43,68.5333,146.4167,57.29,11.48
Marshall,75,1627342982,72,34.3834,-86.3333,86.13,1.99
Becerril,93,1627343020,93,9.7041,-73.2793,75.72,3.78
Krasnyy Chikoy,87,1627343020,74,50.3643,108.7512,62.35,2.73
Ganzhou,5,1627343020,73,28.8184,115.4327,84.79,4.16
Tashara,65,1627343021,80,55.5195,83.5094,56.23,8.34
Podor,0,1627343021,65,16.6527,-14.9587,84.15,4.61
Caravelas,4,1627343022,84,-17.7125,-39.2481,70.03,5.37
Sardulgarh,74,1627343022,79,29.7,75.25,83.89,9.75
Bayjī,0,1627343023,19,34.9311,43.487,97.3,8.77
Ponferrada,19,1627343023,84,42.5466,-6.5962,65.21,1.01
The Pas,1,1627343023,53,53.8251,-101.2541,73.42,3.65
Paita,0,1627343024,81,-5.0892,-81.1144,72.16,16.84
Fortuna,1,1627342859,80,40.5982,-124.1573,97.48,14.97
Ahipara,13,1627342854,66,-35.1667,173.1667,58.86,16.67
Monrovia,97,1627343025,83,6.3005,-10.7969,76.59,12.15
Bichena,100,1627343025,92,10.45,38.2,52.52,4.83
Hong Kong,95,1627342587,85,22.2855,114.1577,88.32,5.99
Vágur,100,1627343026,99,61.4732,-6.8119,52.2,8.86
Hay River,75,1627343026,56,60.8156,-115.7999,71.58,4.61
Taywarah,32,1627343027,32,33.35,64.4167,59.09,7.25
Omboué,72,1627343027,83,-1.5746,9.2618,71.49,5.82
Iqaluit,75,1627343027,81,63.7506,-68.5145,49.73,2.3
Suntar,45,1627343028,51,62.1444,117.6319,78.82,3.2
Tabou,100,1627343028,78,4.423,-7.3528,75.94,9.73
Padang,18,1627343029,87,-0.9492,100.3543,77.68,3.0
Vila,21,1627343029,87,42.0304,-8.1588,58.75,2.91
Kidal,100,1627343029,36,18.4411,1.4078,88.59,7.76
Sorong,58,1627343030,83,-0.8833,131.25,80.53,8.16
Makkah al Mukarramah,83,1627342936,36,21.4267,39.8261,88.09,6.55
Cidreira,100,1627342841,98,-30.1811,-50.2056,62.26,6.87
Kiruna,71,1627343031,82,67.8557,20.2251,56.32,2.3
Leningradskiy,61,1627343031,79,69.3833,178.4167,42.06,7.67
Biak,76,1627343031,74,-0.9131,122.8766,76.93,6.49
Ozernovskiy,100,1627343032,93,51.5,156.5167,59.09,8.43
Nowy Dwór Gdański,64,1627343032,96,54.2131,19.1177,70.0,6.11
Cairns,75,1627343033,69,-16.9167,145.7667,77.11,9.22
Beringovskiy,100,1627343034,92,63.05,179.3167,53.42,7.58
Namatanai,33,1627343035,65,-3.6667,152.4333,84.2,4.74
Menongue,22,1627343035,49,-14.6585,17.691,47.64,6.06
Nelson Bay,4,1627343035,67,-32.7167,152.15,61.95,1.99
Chernyshevskiy,9,1627343036,47,63.0128,112.4714,77.18,0.76
Kiryat Gat,0,1627343036,83,31.61,34.7642,79.81,5.14
Esperance,35,1627342848,66,-33.8667,121.9,55.24,34.34
Tateyama,75,1627343037,83,34.9833,139.8667,78.1,13.8
Mokhsogollokh,54,1627343037,54,61.4681,128.9203,76.87,9.1
Bucerías,75,1627342991,74,20.75,-105.3333,85.98,6.91
São Filipe,24,1627342874,83,14.8961,-24.4956,75.07,9.55
Fairbanks,1,1627343038,48,64.8378,-147.7164,74.01,3.0
Black Forest,20,1627343038,30,39.0131,-104.7008,87.35,1.99
Dandong,27,1627343039,73,40.1292,124.3947,81.25,2.95
Nālūt,0,1627343039,20,30.3333,10.85,83.08,15.64
Jutaí,99,1627343040,74,-5.1833,-68.9,79.43,1.63
Sundargarh,100,1627343040,83,22.1167,84.0333,78.85,8.39
Kulhudhuffushi,100,1627343041,75,6.6221,73.07,82.04,13.24
Itarema,19,1627343041,81,-2.9248,-39.9167,79.16,18.32
Yining,39,1627343041,81,29.0361,114.5636,81.84,4.32
Margate,50,1627343042,90,51.3813,1.3862,65.03,1.99
Shubarkuduk,0,1627343042,38,49.1447,56.4872,62.74,8.79
Gaoua,47,1627343043,74,10.2992,-3.2508,76.03,7.31
Dolgorukovo,42,1627343043,63,52.3195,38.3453,63.59,0.69
Tegul'det,100,1627343043,97,57.3064,88.1667,62.47,6.89
Ayan,8,1627343044,55,56.45,138.1667,70.57,7.63
Vila Velha,40,1627343044,88,-20.3297,-40.2925,71.55,6.91
Nome,90,1627343046,87,64.5011,-165.4064,50.07,9.22
Sakaiminato,75,1627343005,89,35.55,133.2333,80.53,3.44
Sinaloa,12,1627343046,44,25.0,-107.5,94.62,11.18
Vyartsilya,49,1627343047,83,62.1764,30.693,59.95,1.3
Kapuskasing,75,1627343047,59,49.4169,-82.4331,66.29,3.44
Koumac,99,1627343047,59,-20.5667,164.2833,72.54,8.25
Baza,9,1627343048,82,37.4907,-2.7726,71.42,1.99
Kencong,26,1627343049,83,-8.2833,113.3667,73.53,2.28
Chabahar,47,1627343050,86,25.2919,60.643,83.7,5.44
Husavik,74,1627342872,82,66.0449,-17.3389,49.91,1.95
Maïné Soroa,100,1627343050,83,13.2114,12.0241,75.74,8.99
Port Hardy,75,1627343051,77,50.6996,-127.4199,62.78,10.36
George Town,20,1627342848,88,5.4112,100.3354,82.89,0.0
Tommot,75,1627343051,69,58.9564,126.2925,70.07,4.83
Benguela,62,1627343052,85,-12.5763,13.4055,69.82,3.85
Peniche,3,1627342877,89,39.3558,-9.3811,66.72,15.19
Kloulklubed,100,1627343052,79,7.0419,134.2556,82.9,17.96
Yanacancha,97,1627343053,87,-10.2411,-76.6456,41.65,0.83
Launceston,90,1627343053,97,-41.45,147.1667,54.81,1.01
Kinwat,100,1627343054,82,19.6333,78.2,75.54,13.8
Conceição do Araguaia,44,1627343055,36,-8.2578,-49.2647,78.22,3.56
Abu Dhabi,0,1627342989,41,24.4667,54.3667,96.91,3.44
Dukat,100,1627343056,87,62.55,155.55,48.25,4.72
Temir,28,1627343056,33,49.1414,57.13,66.22,12.66
Senneterre,83,1627343056,71,48.3835,-77.2328,68.22,9.44
Luebo,85,1627343057,39,-5.35,21.4167,66.27,2.04
Cabo San Lucas,1,1627342621,66,22.8909,-109.9124,94.8,12.66
Birobidzhan,98,1627343057,69,48.8,132.95,82.47,2.28
Phibun Mangsahan,95,1627343058,89,15.2447,105.2291,78.78,8.28
Belyy Yar,0,1627343058,88,53.6039,91.3903,66.09,0.0
Tiarei,49,1627343029,75,-17.5333,-149.3333,82.42,7.49
Teahupoo,46,1627343059,74,-17.8333,-149.2667,76.96,9.48
Honggang,100,1627343059,93,46.4667,124.8667,71.55,10.78
Bauchi,100,1627343060,97,10.5,10.0,69.53,3.18
Khasan,64,1627343060,76,42.4308,130.6434,77.45,1.41
Ponta Delgada,75,1627343060,94,37.7333,-25.6667,68.72,8.05
Nabire,86,1627343061,69,-3.3667,135.4833,82.74,1.16
Ocós,100,1627343061,71,14.5094,-92.1933,86.5,3.78
Salinópolis,41,1627343062,81,-0.6136,-47.3561,79.14,10.71
Araouane,55,1627343062,26,18.9048,-3.5265,98.71,13.15
Virtsu,99,1627343062,76,58.5716,23.5115,71.58,11.36
Deep River,59,1627343063,68,46.1001,-77.4995,76.75,4.9
Coral Hills,20,1627343063,73,38.8704,-76.9211,85.23,5.99
Poum,100,1627343064,67,-20.2333,164.0167,71.35,8.84
Baturaja,12,1627343064,89,-4.1333,104.1667,69.08,2.93
Werdohl,60,1627343064,52,51.2667,7.7667,63.14,1.01
Nioro,87,1627343065,77,13.35,-15.75,78.66,7.34
Izumo,20,1627343065,83,35.3667,132.7667,80.49,5.75
Srīsailain,87,1627342955,87,16.0833,78.8667,72.68,12.75
Akhmīm,0,1627343066,26,26.5622,31.745,82.6,6.58
Ulaangom,8,1627343066,54,49.9811,92.0667,68.76,1.39
Mlonggo,2,1627343067,71,-6.5333,110.7,69.69,4.65
Altamont,1,1627343067,25,42.2068,-121.7372,93.88,1.01
Kolvereid,13,1627343067,63,64.8655,11.6047,65.14,8.21
Disna,60,1627343068,76,55.568,28.1971,64.69,5.91
Āstāneh-ye Ashrafīyeh,0,1627343068,65,37.2596,49.9444,77.92,0.81
Mount Gambier,46,1627343069,66,-37.8333,140.7667,49.91,17.27
Kitui,40,1627343069,77,-1.367,38.0106,56.64,3.09
West Bay,20,1627343069,74,19.3667,-81.4167,86.07,1.99
Auburn Hills,40,1627343070,50,42.6875,-83.2341,88.68,1.99
Aklavik,90,1627342884,77,68.2191,-135.0107,63.32,3.44
Luleå,75,1627343070,82,65.5842,22.1547,64.47,2.3
Talnakh,78,1627342870,65,69.4865,88.3972,72.66,8.08
Progreso,42,1627343071,73,21.2833,-89.6667,86.11,8.84
Omsukchan,100,1627343071,85,62.5333,155.8,50.76,6.2
